mic_id,mic_name
149,Eubacterium hallii
150,Eubacterium rectale
151,Eubacterium tortuosum
152,Faecalibacterium
153,Faecalibacterium prausnitzii
154,Firmicutes
155,Firmicutes bacterium EG14
156,Firmicutes str. C29
157,Fusobacteria
158,Fusobacteriaceae
159,Fusobacterium
160,Fusobacterium nucleatum
161,Gammaproteobacteria
162,Gardnerella
163,Gardnerella vaginalis
164,Gram-negative bacterium cL10-2b-4
165,Haemophilus
166,Haemophilus parainfluenzae
167,Hafnia
168,Helicobacter pylori
169,Holdemania
170,Human intestinal firmicute CB47
171,Human intestinal firmicute CO13
172,Human intestinal firmicute CO19
173,Human intestinal firmicute CO2
174,Human intestinal firmicute CO35
175,Human intestinal firmicute CO4
176,Human intestinal firmicute CS26
177,Klebsiella
178,Klebsiella pneumoniae
179,Lachnobacterium
180,Lachnospira
181,Lachnospiraceae
182,Lachnospiraceae bacterium A2
183,Lactobacillus
184,Lactobacillus crispatus
185,Lactobacillus iners
186,Lactobacillus salivarius
187,Lactococcus
188,Leptotrichia
189,Leptotrichia amnionii
190,Lysobacter
191,Mannheimia
192,Mastodon intestinal bacterium AN-22-6
193,Megasphaera
194,Methanobrevibacter smithii
195,Mobiluncus
196,Mogibacterium
197,Nitrospiraceae
198,Odoribacter
199,Odoribacter splanchnicus
200,Oligella
201,Olsenella
202,Oscillibacter
203,Oscillospira
204,Oscillospiraceae bacterium NML 061048
205,Oxalobacter formigenes
206,Oxalobacteraceae
207,Paenibacillaceae
208,Pantoea
209,Papillibacter
210,Parabacteroides
211,Parabacteroides distasonis
212,Parabacteroides merdae
213,Pasteurella
214,Pasteurellaceae
215,Pectobacterium
216,Peptostreptococcaceae
217,Peptostreptococcus
218,Phascolarctobacterium
219,Polyangiaceae
220,Porphyromonadaceae
221,Porphyromonas
222,Porphyromonas gingivalis
223,Porphyromonas uenonis
224,Prevotella
225,Prevotella copri
226,Prevotellaceae
227,Promicromonosporaceae
228,Propionibacterium
229,Propionibacterium acnes
230,Proteobacteria
231,Pseudomonas
232,Pusillimonas
233,Rickettsiales
234,Rikenellaceae
235,Roseburia
236,Roseburia hominis
237,Roseburia intestinalis
238,Rumen bacterium 8/94-32
239,Rumen bacterium R-7
240,Rumen bacterium R-9
241,Ruminococcaceae
242,Ruminococcus
243,[Ruminococcus] gnavus
244,Ruminococcus productus
245,Salmonella
246,Segmented filamentous bacterium
247,Selenomonas
248,Serratia
249,Shigella
250,Shigella dysenteriae
251,Shuttleworthia
252,Solobacterium
253,Sphingomonadaceae
254,Staphylococcus
255,Staphylococcus aureus
256,Staphylococcus epidermidis
257,Stenotrophomonas maltophilia
258,Streptobacillus
259,Streptococcaceae
260,Streptococcus
261,Streptococcus anginosus
262,Streptococcus mitis
263,Streptococcus parasanguinis
264,Streptococcus salivarius
265,Streptococcus vestibularis
266,Subdoligranulum
267,Sutterella
268,Swine fecal bacterium FPC67
269,Swine fecal bacterium FPC70
270,Swine fecal bacterium RF3E-Xyl1
271,Swine fecal bacterium SD-Pec1
272,Robinsoniella peoriensis
273,Syntrophobacteraceae
274,Tannerella
275,Tenericutes
276,Terrahaemophilus
277,Thiotrichaceae
278,Treponema
279,Tropheryma whipplei
280,Unidentified bacterium ZF3
281,Veillonella
282,Veillonella atypica
283,Veillonella dispar
284,Veillonella parvula
285,Veillonellaceae
286,Verrucomicrobia
287,Verrucomicrobia bacterium MS-F-88
288,Verrucomicrobiaceae
289,Vibrio
290,Xanthomonas
291,Yersinia
