disease_A,disease_B,weight
4.0,18.0,0.594520548
4.0,19.0,0.707040969
4.0,20.0,0.324111831
4.0,21.0,0.594520548
4.0,22.0,0.499906932
4.0,23.0,0.017020559
4.0,24.0,0.594520548
4.0,25.0,0.003007438
4.0,26.0,0.176694446
4.0,27.0,0.594520548
4.0,28.0,0.385454033
4.0,29.0,0.272531793
4.0,30.0,0.353454682
4.0,31.0,0.707040969
4.0,32.0,0.499906932
4.0,33.0,0.545165061
4.0,34.0,0.499906932
4.0,35.0,3.36e-07
4.0,36.0,0.272531793
4.0,37.0,0.499906932
4.0,38.0,0.594520548
5.0,0.0,0.840857282
5.0,1.0,1.0
5.0,2.0,0.840857282
5.0,3.0,0.420350385
5.0,4.0,0.707040969
5.0,5.0,1.0
5.0,6.0,0.840857282
5.0,7.0,0.096327638
5.0,8.0,0.353454682
5.0,9.0,0.840857282
5.0,10.0,0.499906932
5.0,11.0,0.840857282
5.0,12.0,0.499906932
5.0,13.0,0.272531793
5.0,14.0,0.420350385
5.0,15.0,0.771051586
5.0,16.0,0.916982706
5.0,17.0,0.840857282
5.0,18.0,0.840857282
5.0,19.0,0.840857282
5.0,20.0,0.458406011
5.0,21.0,0.840857282
5.0,22.0,0.707040969
5.0,23.0,0.024072945
5.0,24.0,0.840857282
5.0,25.0,0.004253556
5.0,26.0,0.249906941
5.0,27.0,0.840857282
5.0,28.0,0.458406011
5.0,29.0,0.385454033
5.0,30.0,0.499906932
5.0,31.0,1.0
5.0,32.0,0.707040969
5.0,33.0,0.771051586
5.0,34.0,0.707040969
5.0,35.0,4.75e-07
5.0,36.0,0.385454033
5.0,37.0,0.707040969
5.0,38.0,0.840857282
6.0,0.0,0.840857282
6.0,1.0,0.840857282
6.0,2.0,0.840857282
6.0,3.0,0.420350385
6.0,4.0,0.594520548
6.0,5.0,0.840857282
6.0,6.0,1.0
6.0,7.0,0.096327638
6.0,8.0,0.353454682
6.0,9.0,0.840857282
6.0,10.0,0.594520548
6.0,11.0,0.840857282
6.0,12.0,0.499906932
6.0,13.0,0.272531793
6.0,14.0,0.420350385
6.0,15.0,0.771051586
6.0,16.0,0.771051586
6.0,17.0,0.840857282
6.0,18.0,0.840857282
6.0,19.0,0.840857282
6.0,20.0,0.458406011
6.0,21.0,0.840857282
6.0,22.0,0.707040969
6.0,23.0,0.024072945
6.0,24.0,0.840857282
6.0,25.0,0.004253556
6.0,26.0,0.249906941
6.0,27.0,0.840857282
6.0,28.0,0.458406011
6.0,29.0,0.385454033
6.0,30.0,0.499906932
6.0,31.0,0.840857282
6.0,32.0,0.707040969
6.0,33.0,0.771051586
6.0,34.0,0.707040969
6.0,35.0,5.65e-07
6.0,36.0,0.458406011
6.0,37.0,0.707040969
6.0,38.0,0.840857282
7.0,0.0,0.096327638
7.0,1.0,0.096327638
7.0,2.0,0.096327638
7.0,3.0,0.05726876
7.0,4.0,0.068107587
7.0,5.0,0.096327638
7.0,6.0,0.096327638
7.0,7.0,1.0
7.0,8.0,0.048154854
7.0,9.0,0.096327638
7.0,10.0,0.080997796
7.0,11.0,0.096327638
7.0,12.0,0.080997796
7.0,13.0,0.044157168
7.0,14.0,0.05726876
7.0,15.0,0.088330778
7.0,16.0,0.088330778
7.0,17.0,0.096327638
7.0,18.0,0.096327638
7.0,19.0,0.096327638
7.0,20.0,0.062453479
7.0,21.0,0.096327638
7.0,22.0,0.096327638
7.0,23.0,0.002757769
7.0,24.0,0.096327638
7.0,25.0,0.001159229
7.0,26.0,0.04049136
7.0,27.0,0.096327638
7.0,28.0,0.062453479
7.0,29.0,0.052514463
7.0,30.0,0.080997796
7.0,31.0,0.096327638
7.0,32.0,0.096327638
7.0,33.0,0.088330778
7.0,34.0,0.080997796
7.0,35.0,1.54e-07
7.0,36.0,0.088330778
7.0,37.0,0.096327638
7.0,38.0,0.096327638
8.0,0.0,0.353454682
8.0,1.0,0.353454682
8.0,2.0,0.353454682
8.0,3.0,0.249906941
8.0,4.0,0.249906941
8.0,5.0,0.353454682
8.0,6.0,0.353454682
8.0,7.0,0.048154854
8.0,8.0,1.0
8.0,9.0,0.353454682
8.0,10.0,0.297204943
8.0,11.0,0.353454682
8.0,12.0,0.297204943
8.0,13.0,0.136240533
8.0,14.0,0.176694446
8.0,15.0,0.324111831
8.0,16.0,0.324111831
8.0,17.0,0.353454682
8.0,18.0,0.353454682
8.0,19.0,0.353454682
8.0,20.0,0.229160343
8.0,21.0,0.353454682
8.0,22.0,0.420350385
8.0,23.0,0.024072945
8.0,24.0,0.353454682
8.0,25.0,0.005058594
8.0,26.0,0.176694446
8.0,27.0,0.353454682
8.0,28.0,0.272531793
8.0,29.0,0.162025751
8.0,30.0,0.297204943
8.0,31.0,0.353454682
8.0,32.0,0.297204943
8.0,33.0,0.324111831
8.0,34.0,0.297204943
8.0,35.0,1.13e-06
8.0,36.0,0.272531793
8.0,37.0,0.353454682
8.0,38.0,0.353454682
9.0,0.0,0.840857282
9.0,1.0,0.840857282
9.0,2.0,0.840857282
9.0,3.0,0.420350385
9.0,4.0,0.594520548
9.0,5.0,0.840857282
9.0,6.0,0.840857282
9.0,7.0,0.096327638
9.0,8.0,0.353454682
9.0,9.0,1.0
9.0,10.0,0.499906932
9.0,11.0,0.840857282
9.0,12.0,0.499906932
9.0,13.0,0.272531793
9.0,14.0,0.420350385
9.0,15.0,0.771051586
9.0,16.0,0.771051586
9.0,17.0,0.840857282
9.0,18.0,0.840857282
9.0,19.0,0.840857282
9.0,20.0,0.458406011
9.0,21.0,0.840857282
9.0,22.0,0.707040969
9.0,23.0,0.02862905
9.0,24.0,0.840857282
9.0,25.0,0.004253556
9.0,26.0,0.249906941
9.0,27.0,0.840857282
9.0,28.0,0.458406011
9.0,29.0,0.385454033
9.0,30.0,0.499906932
9.0,31.0,0.840857282
9.0,32.0,0.707040969
9.0,33.0,0.771051586
9.0,34.0,0.707040969
9.0,35.0,4.75e-07
9.0,36.0,0.385454033
9.0,37.0,0.707040969
9.0,38.0,0.840857282
10.0,0.0,0.499906932
10.0,1.0,0.499906932
10.0,2.0,0.499906932
10.0,3.0,0.353454682
10.0,4.0,0.353454682
10.0,5.0,0.499906932
10.0,6.0,0.594520548
10.0,7.0,0.080997796
10.0,8.0,0.297204943
10.0,9.0,0.499906932
10.0,10.0,1.0
10.0,11.0,0.499906932
10.0,12.0,0.420350385
10.0,13.0,0.192691143
10.0,14.0,0.249906941
10.0,15.0,0.458406011
10.0,16.0,0.458406011
10.0,17.0,0.499906932
10.0,18.0,0.499906932
10.0,19.0,0.499906932
10.0,20.0,0.324111831
10.0,21.0,0.594520548
10.0,22.0,0.420350385
10.0,23.0,0.020241911
10.0,24.0,0.499906932
10.0,25.0,0.005058594
10.0,26.0,0.210136071
10.0,27.0,0.499906932
10.0,28.0,0.385454033
10.0,29.0,0.324111831
10.0,30.0,0.353454682
10.0,31.0,0.499906932
10.0,32.0,0.499906932
10.0,33.0,0.458406011
10.0,34.0,0.420350385
10.0,35.0,7.99e-07
10.0,36.0,0.385454033
10.0,37.0,0.420350385
10.0,38.0,0.499906932
11.0,0.0,0.840857282
11.0,1.0,0.840857282
11.0,2.0,0.840857282
11.0,3.0,0.420350385
11.0,4.0,0.594520548
11.0,5.0,0.840857282
11.0,6.0,0.840857282
11.0,7.0,0.096327638
11.0,8.0,0.353454682
11.0,9.0,0.840857282
11.0,10.0,0.499906932
11.0,11.0,1.0
11.0,12.0,0.499906932
11.0,13.0,0.272531793
11.0,14.0,0.420350385
11.0,15.0,0.771051586
11.0,16.0,0.771051586
11.0,17.0,0.840857282
11.0,18.0,0.840857282
11.0,19.0,0.840857282
11.0,20.0,0.458406011
11.0,21.0,0.840857282
11.0,22.0,0.707040969
11.0,23.0,0.02862905
11.0,24.0,0.840857282
11.0,25.0,0.005058594
11.0,26.0,0.297204943
11.0,27.0,0.840857282
11.0,28.0,0.458406011
11.0,29.0,0.385454033
11.0,30.0,0.499906932
11.0,31.0,0.840857282
11.0,32.0,0.707040969
11.0,33.0,0.771051586
11.0,34.0,0.707040969
11.0,35.0,5.65e-07
11.0,36.0,0.385454033
11.0,37.0,0.707040969
11.0,38.0,0.840857282
12.0,0.0,0.499906932
12.0,1.0,0.499906932
12.0,2.0,0.499906932
12.0,3.0,0.499906932
12.0,4.0,0.353454682
12.0,5.0,0.499906932
12.0,6.0,0.499906932
12.0,7.0,0.080997796
12.0,8.0,0.297204943
12.0,9.0,0.499906932
12.0,10.0,0.420350385
12.0,11.0,0.499906932
12.0,12.0,1.0
12.0,13.0,0.162025751
12.0,14.0,0.353454682
12.0,15.0,0.458406011
12.0,16.0,0.458406011
12.0,17.0,0.499906932
12.0,18.0,0.499906932
12.0,19.0,0.499906932
12.0,20.0,0.324111831
12.0,21.0,0.499906932
12.0,22.0,0.499906932
12.0,23.0,0.024072945
12.0,24.0,0.499906932
12.0,25.0,0.006015996
12.0,26.0,0.210136071
12.0,27.0,0.499906932
12.0,28.0,0.324111831
12.0,29.0,0.324111831
12.0,30.0,0.353454682
12.0,31.0,0.499906932
12.0,32.0,0.499906932
12.0,33.0,0.458406011
12.0,34.0,0.420350385
12.0,35.0,6.72e-07
12.0,36.0,0.385454033
12.0,37.0,0.499906932
12.0,38.0,0.499906932
13.0,0.0,0.272531793
13.0,1.0,0.272531793
13.0,2.0,0.272531793
13.0,3.0,0.136240533
13.0,4.0,0.192691143
13.0,5.0,0.272531793
13.0,6.0,0.272531793
13.0,7.0,0.044157168
13.0,8.0,0.136240533
13.0,9.0,0.272531793
13.0,10.0,0.192691143
13.0,11.0,0.272531793
13.0,12.0,0.162025751
13.0,13.0,1.0
13.0,14.0,0.136240533
13.0,15.0,0.249906941
13.0,16.0,0.297204943
13.0,17.0,0.272531793
13.0,18.0,0.272531793
13.0,19.0,0.272531793
13.0,20.0,0.297204943
13.0,21.0,0.272531793
13.0,22.0,0.229160343
13.0,23.0,0.011035183
13.0,24.0,0.272531793
13.0,25.0,0.003279711
13.0,26.0,0.114558844
13.0,27.0,0.272531793
13.0,28.0,0.176694446
13.0,29.0,0.124930212
13.0,30.0,0.192691143
13.0,31.0,0.272531793
13.0,32.0,0.229160343
13.0,33.0,0.249906941
13.0,34.0,0.272531793
13.0,35.0,3.08e-07
13.0,36.0,0.176694446
13.0,37.0,0.229160343
13.0,38.0,0.272531793
14.0,0.0,0.420350385
14.0,1.0,0.420350385
14.0,2.0,0.420350385
14.0,3.0,0.210136071
14.0,4.0,0.420350385
14.0,5.0,0.420350385
14.0,6.0,0.420350385
14.0,7.0,0.05726876
14.0,8.0,0.176694446
14.0,9.0,0.420350385
14.0,10.0,0.249906941
14.0,11.0,0.420350385
14.0,12.0,0.353454682
14.0,13.0,0.136240533
14.0,14.0,1.0
14.0,15.0,0.385454033
14.0,16.0,0.385454033
14.0,17.0,0.420350385
14.0,18.0,0.420350385
14.0,19.0,0.499906932
14.0,20.0,0.229160343
14.0,21.0,0.420350385
14.0,22.0,0.353454682
14.0,23.0,0.014311861
14.0,24.0,0.420350385
14.0,25.0,0.002528826
14.0,26.0,0.124930212
14.0,27.0,0.420350385
14.0,28.0,0.272531793
14.0,29.0,0.192691143
14.0,30.0,0.249906941
14.0,31.0,0.420350385
14.0,32.0,0.353454682
14.0,33.0,0.385454033
14.0,34.0,0.353454682
14.0,35.0,2.82e-07
14.0,36.0,0.229160343
14.0,37.0,0.353454682
14.0,38.0,0.420350385
15.0,0.0,0.771051586
15.0,1.0,0.771051586
15.0,2.0,0.771051586
15.0,3.0,0.385454033
15.0,4.0,0.545165061
15.0,5.0,0.771051586
15.0,6.0,0.771051586
15.0,7.0,0.088330778
15.0,8.0,0.324111831
15.0,9.0,0.771051586
15.0,10.0,0.458406011
15.0,11.0,0.771051586
15.0,12.0,0.458406011
15.0,13.0,0.249906941
15.0,14.0,0.385454033
15.0,15.0,1.0
15.0,16.0,0.707040969
15.0,17.0,0.771051586
15.0,18.0,0.771051586
15.0,19.0,0.771051586
15.0,20.0,0.420350385
15.0,21.0,0.771051586
15.0,22.0,0.648344341
15.0,23.0,0.022074475
15.0,24.0,0.771051586
15.0,25.0,0.003900437
15.0,26.0,0.229160343
15.0,27.0,0.771051586
15.0,28.0,0.420350385
15.0,29.0,0.353454682
15.0,30.0,0.458406011
15.0,31.0,0.771051586
15.0,32.0,0.771051586
15.0,33.0,0.707040969
15.0,34.0,0.648344341
15.0,35.0,5.18e-07
15.0,36.0,0.353454682
15.0,37.0,0.648344341
15.0,38.0,0.771051586
16.0,0.0,0.771051586
16.0,1.0,0.916982706
16.0,2.0,0.771051586
16.0,3.0,0.385454033
16.0,4.0,0.648344341
16.0,5.0,0.916982706
16.0,6.0,0.771051586
16.0,7.0,0.088330778
16.0,8.0,0.324111831
16.0,9.0,0.771051586
16.0,10.0,0.458406011
16.0,11.0,0.771051586
16.0,12.0,0.458406011
16.0,13.0,0.297204943
16.0,14.0,0.385454033
16.0,15.0,0.707040969
16.0,16.0,1.0
16.0,17.0,0.771051586
16.0,18.0,0.771051586
16.0,19.0,0.771051586
16.0,20.0,0.420350385
16.0,21.0,0.771051586
16.0,22.0,0.648344341
16.0,23.0,0.022074475
16.0,24.0,0.771051586
16.0,25.0,0.003900437
16.0,26.0,0.229160343
16.0,27.0,0.771051586
16.0,28.0,0.420350385
16.0,29.0,0.353454682
16.0,30.0,0.458406011
16.0,31.0,0.916982706
16.0,32.0,0.648344341
16.0,33.0,0.707040969
16.0,34.0,0.648344341
16.0,35.0,4.36e-07
16.0,36.0,0.353454682
16.0,37.0,0.648344341
16.0,38.0,0.771051586
17.0,0.0,1.0
17.0,1.0,0.840857282
17.0,2.0,1.0
17.0,3.0,0.499906932
17.0,4.0,0.594520548
17.0,5.0,0.840857282
17.0,6.0,0.840857282
17.0,7.0,0.096327638
17.0,8.0,0.353454682
17.0,9.0,0.840857282
17.0,10.0,0.499906932
17.0,11.0,0.840857282
17.0,12.0,0.499906932
17.0,13.0,0.272531793
17.0,14.0,0.420350385
17.0,15.0,0.771051586
17.0,16.0,0.771051586
17.0,17.0,1.0
17.0,18.0,1.0
17.0,19.0,0.840857282
17.0,20.0,0.458406011
17.0,21.0,0.840857282
17.0,22.0,0.707040969
17.0,23.0,0.024072945
17.0,24.0,0.840857282
17.0,25.0,0.004253556
17.0,26.0,0.249906941
17.0,27.0,0.840857282
17.0,28.0,0.458406011
17.0,29.0,0.385454033
17.0,30.0,0.499906932
17.0,31.0,0.840857282
17.0,32.0,0.707040969
17.0,33.0,0.771051586
17.0,34.0,0.707040969
17.0,35.0,4.75e-07
17.0,36.0,0.385454033
17.0,37.0,0.707040969
17.0,38.0,0.840857282
18.0,0.0,1.0
18.0,1.0,0.840857282
18.0,2.0,1.0
18.0,3.0,0.499906932
18.0,4.0,0.594520548
18.0,5.0,0.840857282
18.0,6.0,0.840857282
18.0,7.0,0.096327638
18.0,8.0,0.353454682
18.0,9.0,0.840857282
18.0,10.0,0.499906932
18.0,11.0,0.840857282
18.0,12.0,0.499906932
18.0,13.0,0.272531793
18.0,14.0,0.420350385
18.0,15.0,0.771051586
18.0,16.0,0.771051586
18.0,17.0,1.0
18.0,18.0,1.0
18.0,19.0,0.840857282
18.0,20.0,0.458406011
18.0,21.0,0.840857282
18.0,22.0,0.707040969
18.0,23.0,0.024072945
18.0,24.0,0.840857282
18.0,25.0,0.004253556
18.0,26.0,0.249906941
18.0,27.0,0.840857282
18.0,28.0,0.458406011
18.0,29.0,0.385454033
18.0,30.0,0.499906932
18.0,31.0,0.840857282
18.0,32.0,0.707040969
18.0,33.0,0.771051586
18.0,34.0,0.707040969
18.0,35.0,4.75e-07
18.0,36.0,0.385454033
18.0,37.0,0.707040969
18.0,38.0,0.840857282
19.0,0.0,0.840857282
19.0,1.0,0.840857282
19.0,2.0,0.840857282
19.0,3.0,0.420350385
19.0,4.0,0.707040969
19.0,5.0,0.840857282
19.0,6.0,0.840857282
19.0,7.0,0.096327638
19.0,8.0,0.353454682
19.0,9.0,0.840857282
19.0,10.0,0.499906932
19.0,11.0,0.840857282
19.0,12.0,0.499906932
19.0,13.0,0.272531793
19.0,14.0,0.499906932
19.0,15.0,0.771051586
19.0,16.0,0.771051586
19.0,17.0,0.840857282
19.0,18.0,0.840857282
19.0,19.0,1.0
19.0,20.0,0.458406011
19.0,21.0,0.840857282
19.0,22.0,0.707040969
19.0,23.0,0.024072945
19.0,24.0,0.840857282
19.0,25.0,0.004253556
19.0,26.0,0.249906941
19.0,27.0,0.840857282
19.0,28.0,0.545165061
19.0,29.0,0.385454033
19.0,30.0,0.499906932
19.0,31.0,0.840857282
19.0,32.0,0.707040969
19.0,33.0,0.771051586
19.0,34.0,0.707040969
19.0,35.0,4.75e-07
19.0,36.0,0.385454033
19.0,37.0,0.707040969
19.0,38.0,0.840857282
20.0,0.0,0.458406011
20.0,1.0,0.458406011
20.0,2.0,0.458406011
20.0,3.0,0.272531793
20.0,4.0,0.324111831
20.0,5.0,0.458406011
20.0,6.0,0.458406011
20.0,7.0,0.062453479
20.0,8.0,0.229160343
20.0,9.0,0.458406011
20.0,10.0,0.324111831
20.0,11.0,0.458406011
20.0,12.0,0.324111831
20.0,13.0,0.297204943
20.0,14.0,0.229160343
20.0,15.0,0.420350385
20.0,16.0,0.420350385
20.0,17.0,0.458406011
20.0,18.0,0.458406011
20.0,19.0,0.458406011
20.0,20.0,1.0
20.0,21.0,0.458406011
20.0,22.0,0.458406011
20.0,23.0,0.022074475
20.0,24.0,0.458406011
20.0,25.0,0.003900437
20.0,26.0,0.136240533
20.0,27.0,0.458406011
20.0,28.0,0.249906941
20.0,29.0,0.249906941
20.0,30.0,0.272531793
20.0,31.0,0.458406011
20.0,32.0,0.545165061
20.0,33.0,0.420350385
20.0,34.0,0.385454033
20.0,35.0,7.33e-07
20.0,36.0,0.249906941
20.0,37.0,0.458406011
20.0,38.0,0.458406011
21.0,0.0,0.840857282
21.0,1.0,0.840857282
21.0,2.0,0.840857282
21.0,3.0,0.420350385
21.0,4.0,0.594520548
21.0,5.0,0.840857282
21.0,6.0,0.840857282
21.0,7.0,0.096327638
21.0,8.0,0.353454682
21.0,9.0,0.840857282
21.0,10.0,0.594520548
21.0,11.0,0.840857282
21.0,12.0,0.499906932
21.0,13.0,0.272531793
21.0,14.0,0.420350385
21.0,15.0,0.771051586
21.0,16.0,0.771051586
21.0,17.0,0.840857282
21.0,18.0,0.840857282
21.0,19.0,0.840857282
21.0,20.0,0.458406011
21.0,21.0,1.0
21.0,22.0,0.707040969
21.0,23.0,0.02862905
21.0,24.0,0.840857282
21.0,25.0,0.005058594
21.0,26.0,0.249906941
21.0,27.0,0.840857282
21.0,28.0,0.458406011
21.0,29.0,0.385454033
21.0,30.0,0.499906932
21.0,31.0,0.840857282
21.0,32.0,0.707040969
21.0,33.0,0.771051586
21.0,34.0,0.707040969
21.0,35.0,5.65e-07
21.0,36.0,0.385454033
21.0,37.0,0.707040969
21.0,38.0,0.840857282
22.0,0.0,0.707040969
22.0,1.0,0.707040969
22.0,2.0,0.707040969
22.0,3.0,0.420350385
22.0,4.0,0.499906932
22.0,5.0,0.707040969
22.0,6.0,0.707040969
22.0,7.0,0.096327638
22.0,8.0,0.420350385
22.0,9.0,0.707040969
22.0,10.0,0.420350385
22.0,11.0,0.707040969
22.0,12.0,0.499906932
22.0,13.0,0.229160343
22.0,14.0,0.353454682
22.0,15.0,0.648344341
22.0,16.0,0.648344341
22.0,17.0,0.707040969
22.0,18.0,0.707040969
22.0,19.0,0.707040969
22.0,20.0,0.458406011
22.0,21.0,0.707040969
22.0,22.0,1.0
22.0,23.0,0.02862905
22.0,24.0,0.707040969
22.0,25.0,0.005058594
22.0,26.0,0.297204943
22.0,27.0,0.707040969
22.0,28.0,0.385454033
22.0,29.0,0.324111831
22.0,30.0,0.594520548
22.0,31.0,0.707040969
22.0,32.0,0.594520548
22.0,33.0,0.648344341
22.0,34.0,0.594520548
22.0,35.0,6.72e-07
22.0,36.0,0.385454033
22.0,37.0,0.840857282
22.0,38.0,0.707040969
23.0,0.0,0.024072945
23.0,1.0,0.024072945
23.0,2.0,0.024072945
23.0,3.0,0.020241911
23.0,4.0,0.017020559
23.0,5.0,0.024072945
23.0,6.0,0.024072945
23.0,7.0,0.002757769
23.0,8.0,0.024072945
23.0,9.0,0.02862905
23.0,10.0,0.020241911
23.0,11.0,0.02862905
23.0,12.0,0.024072945
23.0,13.0,0.011035183
23.0,14.0,0.014311861
23.0,15.0,0.022074475
23.0,16.0,0.022074475
23.0,17.0,0.024072945
23.0,18.0,0.024072945
23.0,19.0,0.024072945
23.0,20.0,0.022074475
23.0,21.0,0.02862905
23.0,22.0,0.02862905
23.0,23.0,1.0
23.0,24.0,0.024072945
23.0,25.0,0.00163955
23.0,26.0,0.017020559
23.0,27.0,0.024072945
23.0,28.0,0.018561483
23.0,29.0,0.013123729
23.0,30.0,0.017020559
23.0,31.0,0.024072945
23.0,32.0,0.024072945
23.0,33.0,0.022074475
23.0,34.0,0.024072945
23.0,35.0,9.15e-08
23.0,36.0,0.018561483
23.0,37.0,0.02862905
23.0,38.0,0.024072945
24.0,0.0,0.840857282
24.0,1.0,0.840857282
24.0,2.0,0.840857282
24.0,3.0,0.420350385
24.0,4.0,0.594520548
24.0,5.0,0.840857282
24.0,6.0,0.840857282
24.0,7.0,0.096327638
24.0,8.0,0.353454682
24.0,9.0,0.840857282
24.0,10.0,0.499906932
24.0,11.0,0.840857282
24.0,12.0,0.499906932
24.0,13.0,0.272531793
24.0,14.0,0.420350385
24.0,15.0,0.771051586
24.0,16.0,0.771051586
24.0,17.0,0.840857282
24.0,18.0,0.840857282
24.0,19.0,0.840857282
24.0,20.0,0.458406011
24.0,21.0,0.840857282
24.0,22.0,0.707040969
24.0,23.0,0.024072945
24.0,24.0,1.0
24.0,25.0,0.004253556
24.0,26.0,0.249906941
24.0,27.0,0.840857282
24.0,28.0,0.458406011
24.0,29.0,0.385454033
24.0,30.0,0.499906932
24.0,31.0,0.840857282
24.0,32.0,0.707040969
24.0,33.0,0.771051586
24.0,34.0,0.707040969
24.0,35.0,4.75e-07
24.0,36.0,0.385454033
24.0,37.0,0.707040969
24.0,38.0,0.840857282
25.0,0.0,0.004253556
25.0,1.0,0.004253556
25.0,2.0,0.004253556
25.0,3.0,0.004253556
25.0,4.0,0.003007438
25.0,5.0,0.004253556
25.0,6.0,0.004253556
25.0,7.0,0.001159229
25.0,8.0,0.005058594
25.0,9.0,0.004253556
25.0,10.0,0.005058594
25.0,11.0,0.005058594
25.0,12.0,0.006015996
25.0,13.0,0.003279711
25.0,14.0,0.002528826
25.0,15.0,0.003900437
25.0,16.0,0.003900437
25.0,17.0,0.004253556
25.0,18.0,0.004253556
25.0,19.0,0.004253556
25.0,20.0,0.003900437
25.0,21.0,0.005058594
25.0,22.0,0.005058594
25.0,23.0,0.00163955
25.0,24.0,0.004253556
25.0,25.0,1.0
25.0,26.0,0.002528826
